ID;PUBLISHED YEAR;TITLE;NUMBER PLAYER;PLAY TIME;AVERAGE;THUMBNAIL
254640;2018;Just One;3-7;20min-60min;https://cf.geekdo-images.com/qKcKjHpzAvLddwBhyindag__thumb/img/HhZu2qLp9wyX9PNgvmDE8_hCl-0=/fit-in/200x150/filters:strip_icc()/pic4268499.jpg
331635;2021;Kameloot;3-6;20min-25min;https://cf.geekdo-images.com/kAAllrKaOmn4e5p0G7ZKpA__thumb/img/eb7QFxpAS_ceZf8-nfBRrLle58U=/fit-in/200x150/filters:strip_icc()/pic5991084.png
299684;2021;Khôra: Rise of an Empire;2-4;75min;https://cf.geekdo-images.com/Bo-JkTTZmznNwVPg9AMb5w__thumb/img/2v5fHaKMLng-tFw7cMl0WugkPJE=/fit-in/200x150/filters:strip_icc()/pic6078973.jpg
297658;2020;[kosmopoli:t];4-8;6min;https://cf.geekdo-images.com/YcwgMFTXc2Xm6uzz0sxEIQ__thumb/img/wBMVH_E33_ukgGR0HekNOHZKixg=/fit-in/200x150/filters:strip_icc()/pic5156649.png
292831;2019;Ligretto Probe-Version;2;5min-10min;https://cf.geekdo-images.com/LtaeBJWWTQ8tRdOvHxUTGw__thumb/img/782TBz7Dplc1yfVS64_u724hbRQ=/fit-in/200x150/filters:strip_icc()/pic5225766.jpg
328479;2021;Living Forest;1-4;40min;https://cf.geekdo-images.com/fPhdfZX9UTLr4-SVgK0zoQ__thumb/img/v8irnVxaCdK29XPtqEbtlKkLY4c=/fit-in/200x150/filters:strip_icc()/pic5899025.jpg
317299;2020;Loco Momo;1-4;20min-30min;https://cf.geekdo-images.com/NZNdlD4jJQmlSlqz8UlBoQ__thumb/img/z18UkTLylkvF1xOrLoBN_X64XYk=/fit-in/200x150/filters:strip_icc()/pic5603298.jpg
318977;2020;MicroMacro: Crime City;1-4;15min-45min;https://cf.geekdo-images.com/1M-1d6fr3U9t670MCVOTeg__thumb/img/aR9LNVhRr_hnIIoYwxFUTb8rPMk=/fit-in/200x150/filters:strip_icc()/pic5896816.jpg
338834;2021;MicroMacro: Crime City – Full House;1-4;15min-45min;https://cf.geekdo-images.com/bNuZIssobDbFYaLbgMofgw__thumb/img/VEB-DHKUWobYsUOFwuywHnsbF2k=/fit-in/200x150/filters:strip_icc()/pic6242068.jpg
353545;2022;Next Station: London;1-4;25min-30min;https://cf.geekdo-images.com/4rsQZkCUHeyxTlOBmTUFSA__thumb/img/Zjg7k92wAJyj9q4KWORbnWBSStI=/fit-in/200x150/filters:strip_icc()/pic6622999.jpg
